Transcript_ID	Locus_ID	Description	RAP-DB Gene Symbol Synonym(s)	RAP-DB Gene Name Synonym(s)	CGSNL Gene Symbol	CGSNL Gene Name	Oryzabase Gene Symbol Synonym(s)	Oryzabase Gene Name Synonym(s)	GO	InterPro	Transcript evidence	ORF evidence	Curation Date	Literature PMID	FLcDNA clone ID	Oryzabase Trait Gene ID
Os03t0334700-01	Os03g0334700	Similar to Potential phospholipid-transporting ATPase VB (EC 3.6.3.1).			ALA1	AMINOPHOSPHOLIPID ATPASE 1	osALA1	aminophospholipid P-Type ATPase 1	Biological Process: cation transport (GO:0006812), Biological Process: phospholipid transport (GO:0015914), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: phospholipid-translocating ATPase activity (GO:0004012), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter (IPR001757), ATPase, P-type, phospholipid-translocating, flippase (IPR006539), ATPase, P-type phosphorylation site (IPR018303), HAD-like domain (IPR023214), ATPase, P-type, cytoplasmic domain N (IPR023299), ATPase, cation-transporting, domain N (IPR023306)	AK063540 (DDBJ, Best hit)	Q10LU3 (UniProt)			001-117-C05	13244
Os03t0334800-01	Os03g0334800	Transmembrane receptor, eukaryota domain containing protein.							Cellular Component: integral to membrane (GO:0016021)	Transmembrane receptor, eukaryota (IPR009637)	AK101595 (DDBJ, Best hit)	Q10LU1 (UniProt)			J033051F22	
Os03t0334800-02	Os03g0334800	Similar to Lung seven transmembrane receptor family protein, expressed.							Cellular Component: integral to membrane (GO:0016021)	Transmembrane receptor, eukaryota (IPR009637)	AK103647 (DDBJ, Best hit)	Q10LU1 (UniProt)			J033135B22	
Os03t0334951-00	Os03g0334951	Hypothetical protein.									tplb0043d02 (Wheat FLcDNA)	longestORF				
Os03t0335100-01	Os03g0335100	Zinc finger, RING/FYVE/PHD-type domain containing protein.							Cellular Component: nucleus (GO:0005634), Molecular Function: zinc ion binding (GO:0008270)	Zinc finger, RING/FYVE/PHD-type (IPR013083), DWNN domain (IPR014891)	AK107094 (DDBJ, Best hit)	A3AHP0 (UniProt)			002-121-H05	
Os03t0335200-01	Os03g0335200	Similar to WRKY1 (WRKY transcription factor 17).			WRKY79	WRKY GENE 79	OsWRKY79, WRKY-79		Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)	DNA-binding WRKY (IPR003657)	AK105244 (DDBJ, Best hit)	Q10LT9 (UniProt)		Rice WRKY Working Group 2012. Rice 5:3.	001-113-F08	9210
Os03t0335300-01	Os03g0335300	Similar to Vacuolar sorting receptor homolog (Fragment).						Vacuolar sorting receptor	Molecular Function: calcium ion binding (GO:0005509)	EGF-like calcium-binding (IPR001881), Protease-associated domain, PA (IPR003137), EGF-like calcium-binding, conserved site (IPR018097)	AK111509 (DDBJ, Best hit), AK121413 (DDBJ, Best hit)	Q9LLR3 (UniProt)			J013001G14, J023133A05	16016
Os03t0335300-02	Os03g0335300	Similar to Vacuolar sorting receptor homolog (Fragment).						Vacuolar sorting receptor	Molecular Function: calcium ion binding (GO:0005509)	EGF-like calcium-binding (IPR001881), Protease-associated domain, PA (IPR003137), EGF-like calcium-binding, conserved site (IPR018097)	AK098891 (DDBJ, Best hit), AK098846 (DDBJ, Best hit)	Q9LLR3 (UniProt)			J013001M02, J013000C17	16016
Os03t0335300-03	Os03g0335300	Similar to Vacuolar targeting receptor bp-80.						Vacuolar sorting receptor		Protease-associated domain, PA (IPR003137)	AK111847 (DDBJ, Best hit)	Q9LLR3 (UniProt)			J023146N11	16016
Os03t0335401-01	Os03g0335401	Non-protein coding transcript.									AK242968 (DDBJ, Best hit)	NONE			J090091F06	
Os03t0335500-01	Os03g0335500	Protein kinase, core domain containing protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Leucine-rich repeat (IPR001611), Protein kinase-like domain (IPR011009), Leucine-rich repeat-containing N-terminal, type 2 (IPR013210), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase-like domain (IPR017442)	AK119808 (DDBJ, Best hit)	Q84XU7 (UniProt)			002-176-H01	
Os03t0335500-02	Os03g0335500	Protein kinase, core domain containing protein.							Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)	Protein kinase, catalytic domain (IPR000719), Leucine-rich repeat (IPR001611), Protein kinase-like domain (IPR011009), Leucine-rich repeat-containing N-terminal, type 2 (IPR013210), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Protein kinase, ATP binding site (IPR017441), Serine/threonine-protein kinase-like domain (IPR017442)	AK099708 (DDBJ, Best hit)	Q84XU7 (UniProt)			J013075N08	
Os03t0335600-01	Os03g0335600	Similar to Valyl-tRNA synthetase.							Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: valyl-tRNA aminoacylation (GO:0006438), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: valine-tRNA ligase activity (GO:0004832), Molecular Function: ATP binding (GO:0005524)	Aminoacyl-tRNA synthetase, class I, conserved site (IPR001412), Aminoacyl-tRNA synthetase, class Ia (IPR002300), Valyl-tRNA synthetase (IPR002303), Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain (IPR009008), Rossmann-like alpha/beta/alpha sandwich fold (IPR014729)	AK100513 (DDBJ, Best hit)	Q7G2B1 (UniProt)			J023099P08	
Os03t0336000-01	Os03g0336000	Pentatricopeptide repeat domain containing protein.							Molecular Function: binding (GO:0005488)	Pentatricopeptide repeat (IPR002885), Tetratricopeptide-like helical (IPR011990)	AK100067 (DDBJ, Best hit)	A2XGF2 (UniProt)			J013162P09	
Os03t0336100-01	Os03g0336100	11-S plant seed storage protein family protein.					CDP3.2	cupin domain containing protein 3.2	Molecular Function: nutrient reservoir activity (GO:0045735)	Cupin 1 (IPR006045), Cupin, RmlC-type (IPR011051), RmlC-like jelly roll fold (IPR014710)	AK105307 (DDBJ, Best hit)	Q10LT1 (UniProt)			001-117-B06	21703
Os03t0336200-01	Os03g0336200	bZIP DNA-binding protein, Disease resistance, Vascular development	RF2B, RF2b, OsbZIP30	bZIP TRANSCRIPTION FACTOR RF2B, Transcription factor RF2b, bZIP transcription factor 30	RF2B	bZIP TRANSCRIPTION FACTOR RF2B	RF2b, OsbZIP30	Transcription factor RF2b, bZIP transcription factor 30	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)	Basic-leucine zipper domain (IPR004827), bZIP transcription factor, bZIP-1 (IPR011616)	AY466471 (Genbank), AK059473 (Genbank)	Q6S4P4 (UniProt)	May 29, 2009	14704272, 19104064	001-028-E05	8246
Os03t0336200-02	Os03g0336200	Transcription factor RF2b.			RF2B	bZIP TRANSCRIPTION FACTOR RF2B	RF2b, OsbZIP30	Transcription factor RF2b, bZIP transcription factor 30	Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)	Basic-leucine zipper (bZIP) transcription factor (IPR004827), bZIP transcription factor, bZIP-1 (IPR011616)	AK070466 (DDBJ, Best hit)	Q6S4P4 (UniProt)			J023052D02	8246
Os03t0336300-01	Os03g0336300	Peptidase M16, core domain containing protein.							Biological Process: proteolysis (GO:0006508), Molecular Function: catalytic activity (GO:0003824), Molecular Function: metalloendopeptidase activity (GO:0004222), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: metal ion binding (GO:0046872)	Peptidase M16, zinc-binding site (IPR001431), Peptidase M16, C-terminal (IPR007863), Peptidase M16, core (IPR011237), Metalloenzyme, LuxS/M16 peptidase-like, metal-binding (IPR011249), Peptidase M16, N-terminal (IPR011765)	AK068503 (DDBJ, Best hit)	NP_172173.2 (RefSeq)			J013153C08	
Os03t0336400-01	Os03g0336400	Similar to Alpha-expansin OsEXPA4.			EXPA6	ALPHA-EXPANSIN 6	OsEXPA6, OsEXP6, osaEXPa1.24	Rice expansin-6, Expansin-A6, Alpha-expansin-6, Expansin S1	Biological Process: plant-type cell wall organization (GO:0009664), Cellular Component: extracellular region (GO:0005576)	Expansin (IPR002963), Expansin/pollen allergen, DPBB domain (IPR007112), Pollen allergen/expansin, C-terminal (IPR007117), Expansin/Lol pI (IPR007118), Barwin-related endoglucanase (IPR009009), Barwin-like endoglucanase (IPR014733)	AK107698 (DDBJ, Best hit)	Q9M4X7 (UniProt)			002-132-C08	9368
Os03t0336500-01	Os03g0336500	Similar to Protein LRP16.								Appr-1-p processing (IPR002589)	AK070095 (DDBJ, Best hit)	B6SKT6 (UniProt)			J023042J09	
Os03t0336600-02	Os03g0336600	Reticulon family protein.									AK061202 (DDBJ, Best hit), AK103014 (DDBJ, Best hit), AK104475 (DDBJ, Best hit)	NP_001149392.1 (RefSeq)			006-210-B03, J033116M03, 006-301-E10	
Os03t0336700-01	Os03g0336700	PAP/25A core domain containing protein.			NTP6	NUCLEOTIDYL TRANSFERASE PROTEIN 6	OsNTP6	nucleotidyl transferase protein 6	Molecular Function: nucleotidyltransferase activity (GO:0016779)	PAP/25A-associated (IPR002058), Nucleotidyl transferase domain (IPR002934)	AK120611 (DDBJ, Best hit)	Q10LS4 (UniProt)			J013151J09	21889
Os03t0336700-02	Os03g0336700	Hypothetical conserved gene.			NTP6	NUCLEOTIDYL TRANSFERASE PROTEIN 6	OsNTP6	nucleotidyl transferase protein 6			AK105633 (DDBJ, Best hit)	Q10LS4 (UniProt)			001-200-D08	21889
Os03t0336900-00	Os03g0336900	Similar to Uncharacterized plant-specific domain TIGR01568 family protein, expressed.					OsOFP9, OsOFP13	OVATE family protein 9, ovate family protein 13, OVATE-domain containing protein 13		Domain of unknown function DUF623 (IPR006458)	EU972618 (DDBJ)	NP_001050045.2 (RefSeq)				18305
Os03t0337000-01	Os03g0337000	Conserved hypothetical protein.			THI28	THIONIN 28	OsTHI28, OsTHION28, THION28	Thionin 28			AK107981 (DDBJ, Best hit)	A2XGG3 (UniProt)			002-135-E06	19268
Os03t0337200-01	Os03g0337200	Hypothetical protein.									AK065446 (DDBJ, Best hit)	longestORF			J013011E08	
Os03t0337200-02	Os03g0337200	Hypothetical protein.									AK099883 (DDBJ, Best hit)	longestORF			J013111P14	
Os03t0337200-03	Os03g0337200	Non-protein coding transcript.									AK122119 (DDBJ, Best hit)	NONE			J033128G07	
Os03t0337500-01	Os03g0337500	Potassium transporter 8, Mediation of potassium uptake and translocation under low potassium stress	OsHAK8	potassium transporter 8, high-affinity K<sup>+</sup> transporter 8	HAK8	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 8	OsHAK8	High-affinity Potassium(K+) Transporter 8, Putative potassium transporter 8	Biological Process: potassium ion transmembrane transport (GO:0071805), Molecular Function: potassium ion transmembrane transporter activity (GO:0015079), Cellular Component: membrane (GO:0016020)	Potassium transporter (IPR003855)	Inferred from literature	Q8VXB5	August 4, 2021	34413871		8662
Os03t0337550-00	Os03g0337550	Hypothetical protein.									EU968841 (DDBJ)	longestORF				
Os03t0337600-01	Os03g0337600	Similar to Uroporphyrinogen decarboxylase (EC 4.1.1.37) (URO-D) (UPD) (Fragment).			LM3	LESION MIMIC 3	UroD, URO-D, OsLM3, OsUroD, OsURO-D	Uroporphyrinogen-III decarboxylase, lesion mimic 3	Biological Process: porphyrin-containing compound biosynthetic process (GO:0006779), Molecular Function: uroporphyrinogen decarboxylase activity (GO:0004853)	Uroporphyrinogen decarboxylase (URO-D) (IPR000257), Uroporphyrinogen decarboxylase HemE (IPR006361)	AK070859 (DDBJ, Best hit)	C5X0S2 (UniProt)			J023065H03	19971
Os03t0337700-01	Os03g0337700	Protein of unknown function, ATP binding family protein.							Molecular Function: nucleotide binding (GO:0000166)	Uncharacterised protein family, ATP binding (IPR004130)	AK065183 (DDBJ, Best hit)	B4F8I8 (UniProt)			J013002D21	
Os03t0337800-01	Os03g0337800	Similar to 60S ribosomal protein L19 (Fragment).			RPL19	RIBOSOMAL PROTEIN L19	RPL19.3, OsRPL19.3, OsRPL19, RPL19e, OsRPL19e	Ribosomal protein L19e, Ribosomal protein L19	Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)	Ribosomal protein L19/L19e (IPR000196), Ribosomal protein L19/L19e, domain 1 (IPR015972), Ribosomal protein L19/L19e, domain 3 (IPR015974), Ribosomal protein L19/L19e conserved site (IPR023638)	AK059309 (DDBJ, Best hit), AK102721 (DDBJ, Best hit)	A2XGG9 (UniProt)			001-025-G06, J033105G07	17666
Os03t0337850-00	Os03g0337850	Non-protein coding transcript.									D29721 (DDBJ, Best hit)	NONE				
Os03t0337900-01	Os03g0337900	Similar to predicted protein.							Biological Process: tricarboxylic acid cycle (GO:0006099), Biological Process: fumarate metabolic process (GO:0006106), Cellular Component: tricarboxylic acid cycle enzyme complex (GO:0045239), Molecular Function: catalytic activity (GO:0003824), Molecular Function: fumarate hydratase activity (GO:0004333), Molecular Function: lyase activity (GO:0016829)	Fumarate lyase (IPR000362), Fumarate hydratase, class II (IPR005677), L-Aspartase-like (IPR008948), Fumarase C, C-terminal (IPR018951), Fumarate lyase, conserved site (IPR020557), Lyase 1, N-terminal (IPR022761), L-Aspartase-like, N-terminal (IPR024083)	AK243527 (DDBJ, Best hit)	NP_001078075.1 (RefSeq)			J100075P16	
Os03t0338000-01	Os03g0338000	Similar to alanine--glyoxylate aminotransferase 2.							Molecular Function: catalytic activity (GO:0003824), Molecular Function: transaminase activity (GO:0008483), Molecular Function: pyridoxal phosphate binding (GO:0030170)	Aminotransferase class-III (IPR005814), Pyridoxal phosphate-dependent transferase, major region, subdomain 1 (IPR015421), Pyridoxal phosphate-dependent transferase, major region, subdomain 2 (IPR015422), Pyridoxal phosphate-dependent transferase, major domain (IPR015424)	AK121399 (DDBJ, Best hit)	NP_001182798.1 (RefSeq)			J023131M07	
Os03t0338100-00	Os03g0338100	Hypothetical protein.									BT083955 (DDBJ)	longestORF				
Os03t0338200-01	Os03g0338200	Conserved hypothetical protein.									AK068547 (DDBJ, Best hit)	B8AMN3 (UniProt)			J013157I07	
Os03t0338400-01	Os03g0338400	Basic helix-loop-helix dimerisation region bHLH domain containing protein.					OsbHLH166, bHLH166	basic helix-loop-helix protein 166		Helix-loop-helix DNA-binding (IPR011598)	AK073378 (DDBJ, Best hit)	B4FLH1 (UniProt)			J033029P04	15436
Os03t0338600-01	Os03g0338600	tRNA pseudouridine synthase family protein.							Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)	Pseudouridine synthase I, TruA (IPR001406), Pseudouridine synthase I, TruA, N-terminal (IPR020094), Pseudouridine synthase I, TruA, C-terminal (IPR020095), Pseudouridine synthase I, TruA, alpha/beta domain (IPR020097), Pseudouridine synthase, catalytic domain (IPR020103)	AK066604 (DDBJ, Best hit)	Q10LQ9 (UniProt)			J013070E06	
Os03t0338700-00	Os03g0338700	Hypothetical protein.									tplb0022i06 (Wheat FLcDNA)	longestORF				
Os03t0338800-01	Os03g0338800	Hypothetical conserved gene.									AK064660 (DDBJ, Best hit)	B8B3T4 (UniProt)			002-115-A06	
Os03t0339100-01	Os03g0339100	Similar to PRL1 protein.					OsWD40-70		Molecular Function: protein binding (GO:0005515)	WD40 repeat (IPR001680), WD40 repeat-like-containing domain (IPR011046), WD40/YVTN repeat-like-containing domain (IPR015943), WD40-repeat-containing domain (IPR017986), WD40 repeat, conserved site (IPR019775), WD40 repeat, subgroup (IPR019781), WD40 repeat 2 (IPR019782), G-protein beta WD-40 repeat (IPR020472)	AK111641 (DDBJ, Best hit)	B6TCU8 (UniProt)			J013124B18	10751
Os03t0339150-01	Os03g0339150	Hypothetical gene.									AK241704 (DDBJ, Best hit)	longestORF			J065196J11	
Os03t0339300-01	Os03g0339300	Hypothetical conserved gene.					prx41, OsPrx41, OsPOX8.1, POX8.1, OsPOD2, POD2	class III peroxidase 41, peroxidase 8.1, peroxidase 2	Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidase, active site (IPR019794)	AK061545 (DDBJ, Best hit)	O22439 (UniProt)			006-311-A04	14567
Os03t0339300-02	Os03g0339300	Similar to Peroxidase (EC 1.11.1.7).					prx41, OsPrx41, OsPOX8.1, POX8.1, OsPOD2, POD2	class III peroxidase 41, peroxidase 8.1, peroxidase 2	Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)	Plant peroxidase (IPR000823), Haem peroxidase, plant/fungal/bacterial (IPR002016), Haem peroxidase (IPR010255), Peroxidases heam-ligand binding site (IPR019793), Peroxidase, active site (IPR019794)	AK104508 (DDBJ, Best hit), AK067107 (DDBJ, Best hit), AK104156 (DDBJ, Best hit), AK104395 (DDBJ, Best hit), AK104470 (DDBJ, Best hit), AK104487 (DDBJ, Best hit), AK104494 (DDBJ, Best hit), AK104573 (DDBJ, Best hit), AK104644 (DDBJ, Best hit), AK106109 (DDBJ, Best hit)	Q5U1I4 (UniProt)			006-302-G09, J013094O18, 006-210-C01, 006-202-C06, 006-301-D07, 006-302-B03, 006-302-C02, 006-306-H05, 006-310-G05, 001-207-D07	14567
